3,2,1,1,1;2,2,2,2
4,3,1,1,1;2,2,2,2,2
5,4,1,1,1;2,2,2,2,2,2
6,5,1,1,1;2,2,2,2,2,2,2
7,6,1,1,1;2,2,2,2,2,2,2,2
8,7,1,1,1;2,2,2,2,2,2,2,2,2
9,8,1,1,1;2,2,2,2,2,2,2,2,2,2
10,9,1,1,1;2,2,2,2,2,2,2,2,2,2,2
11,10,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2
12,11,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2
13,12,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,13,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15,14,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,15,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,16,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
18,17,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
19,18,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20,19,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21,20,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,21,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
23,22,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24,23,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
25,24,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
26,25,1,1,1;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
