4,3,2,2;4,3,2,2
5,4,3,2,2;5,4,3,2,2
6,5,4,3,2,2;6,5,4,3,2,2
7,6,5,4,3,2,2;7,6,5,4,3,2,2
8,7,6,5,4,3,2,2;8,7,6,5,4,3,2,2
9,8,7,6,5,4,3,2,2;9,8,7,6,5,4,3,2,2
10,9,8,7,6,5,4,3,2,2;10,9,8,7,6,5,4,3,2,2
11,10,9,8,7,6,5,4,3,2,2;11,10,9,8,7,6,5,4,3,2,2
12,11,10,9,8,7,6,5,4,3,2,2;12,11,10,9,8,7,6,5,4,3,2,2
13,12,11,10,9,8,7,6,5,4,3,2,2;13,12,11,10,9,8,7,6,5,4,3,2,2
14,13,12,11,10,9,8,7,6,5,4,3,2,2;14,13,12,11,10,9,8,7,6,5,4,3,2,2
15,14,13,12,11,10,9,8,7,6,5,4,3,2,2;15,14,13,12,11,10,9,8,7,6,5,4,3,2,2
16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2;16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2
17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2;17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2
18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2;18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2
19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2;19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2
20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2;20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2
21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2;21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2
22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2;22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2
23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2;23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,2
